,target
0,-7.826380546736048
1,8.400559791795045
2,9.951017945391811
3,10.08248134239873
4,-4.84743679900783
5,4.829011319243245
6,3.8443108928761336
7,11.58126927023102
8,2.773569204897382
9,-3.291892730769366
10,-6.382139295271665
11,-2.282595357363565
12,-2.4739236436384484
13,-2.3854852904664257
14,5.348925367311798
15,6.728645081971318
16,5.449658371004726
17,1.295299804033269
18,1.1026097026734294
19,-1.6401460356804007
20,-13.422715994864726
21,-2.6147045827413757
22,5.312449171132417
23,-11.020998613984734
24,-3.3576096408132807
25,-3.1173388690719954
26,-1.5275399410224728
27,-9.406228993537898
28,8.138113301935341
29,-2.267694476112738
30,-2.361544383547314
31,-13.39937625360901
32,-2.602387723231662
33,7.8883455971181595
34,-3.093401818370614
35,1.0760554408059724
36,-1.0540585382482452
37,-11.895916965161316
38,0.5041173336200349
39,-2.7371535716666613
40,7.140342525344356
41,-4.475206460143348
42,-13.364685843485367
43,0.16785842086171845
44,2.0494963888352253
45,0.21676301417607247
46,-0.0004534889294393052
47,-4.623819450079673
48,-7.13165579186824
49,2.5312018014851048
50,6.674011367184382
51,3.804395527884949
52,-0.8499811098448379
53,2.955060317139913
54,7.1972001555258185
55,3.765402747145229
56,-8.388571557887111
57,-0.42698079956290697
58,-14.839608748943466
59,1.4350874680364138
60,0.9474089367917659
61,-1.7280967748165152
62,11.609896159220312
63,2.3959866370831198
64,-9.949685735002243
65,-4.219475020491154
66,5.241608004042531
67,-4.613417927370709
68,-6.682231001626752
69,-9.754477973240501
70,5.953136877244233
71,-2.1498888707328754
72,-9.598148588756544
73,7.3845997580587355
74,5.8369452827582835
75,7.485151934300857
76,-7.695707920555126
77,2.845446222056046
78,0.3190710495563733
79,10.729812857134435
80,-0.8034609631983448
81,4.814376362002395
82,0.6456056775264818
83,-2.4199903667286056
84,-2.2021393330275005
85,1.838009803886712
86,16.46112811674558
87,-7.2333374715542975
88,3.4049036345496493
89,-0.036007163764354116
90,-6.735171975394284
91,-6.583087341755778
92,-7.329895729697536
93,-5.481028412138471
94,-5.216496491923786
95,1.5625823464357296
